Phase,Readiness,Account,Customer,Branch,Rev 2024,Rev 2025,YoY%,Trend,Parts,Filters,Consistent,Equipment,Peak Season,Stock Cost,Sell Value,Annual Margin,GM%,Bin ROI
3,45,2064581,MERLO CONST CO INC,Novi,1005,9700,8.648,Growing,1,0,1,Case,Fall,444.21,693.77,249.56,0.359715755942171,1.56180635285113
3,45,855432,LASSNICK EXCAVATING INC,Mentor,8697,9272,0.066,Growing,1,0,1,"Case Excavators, KM",Spring,620.92,962.73,341.81,0.355042431418986,1.55048959608323
3,45,145690,HOLZER MEDICAL CENTER,Gallipolis,6359,8968,0.41,Growing,1,0,1,"DG, CH",Winter,174.16,271.88,97.72,0.359423274974253,1.56109324758842
3,45,265154,MIDWEST INDUSTRIAL SUPPLY INC,North Canton,1557,7945,4.102,Growing,1,0,1,Etnyre,Spring,200.32,355.36,155.04,0.436289959477713,1.77396166134185
3,45,2011261,ANGELO & SONS,Novi,2763,7271,1.632,Growing,1,0,1,Case Backhoes,Winter,507.92,787.64,279.72,0.355136864557412,1.55071664829107
3,45,562003,MRK EXCAVATING INC,Monroe,3662,6135,0.675,Growing,1,0,1,Case,Summer,787.23,1220.76,433.53,0.355131229725745,1.5507030982051
3,45,3053986,KLINGLER FARM LLC,Heath,657,5213,6.939,Growing,1,0,1,"Extec, Case",Summer,35.19,44.37,9.18,0.206896551724138,1.26086956521739
3,45,423561,COLUMBUS EQUIPMENT COMPANY,Dublin,11985,3818,-0.681,Declining,9,8,9,,Fall,5132.84,7387.18,2254.34,0.305169225604358,1.439199351626
3,45,3055294,CSC SUGAR,Monroe,16125,1119,-0.931,Declining,3,2,3,Case,Spring,1807.88,2803.3,995.42,0.355088645524917,1.55060070358652
3,45,10693,ALL STATES LEASING LLC,Environmental,0,0,,New/Flat,3,0,3,Schwarze,Spring,2186.11,3041.41,855.3,0.281218250745542,1.39124289262663
3,40,1370604,DAVE O'MARA CONTRACTOR,Indianapolis,51156,45367,-0.113,Declining,1,0,1,Etnyre,Winter,2293.6,4074.8,1781.2,0.437125748502994,1.77659574468085
3,40,34759,R & R BIPRODUCTS INC,Cambridge,16633,16229,-0.024,Declining,4,0,4,"Case, GX",Fall,3966.46,6150.49,2184.03,0.355098536864542,1.55062448631777
3,40,3093867,HOLLYWOOD AUTO,Novi,3622,4947,0.366,Growing,1,0,1,Kobelco,Winter,4.8,7.84,3.04,0.387755102040816,1.63333333333333
3,40,3050671,JOHN DEITRICK,Holt,635,1619,1.55,Growing,2,0,2,"Case, International",Summer,1030.37,1597.75,567.38,0.355111876075732,1.55065656026476
3,40,83120,VILLAGE OF SHADYSIDE,Brilliant,816,1381,0.691,Growing,1,0,1,Case,Winter,957.77,1485.22,527.45,0.355132572952155,1.55070632824164
3,40,1277575,ROCKY RILEY ASPHALT,Fort Wayne,1099,1101,0.002,Growing,2,0,2,,Summer,1278.94,1996.15,717.21,0.359296646043634,1.56078471233991
3,40,688050,ELBERT & MARGIE STEPHENSON,Burlington,335,694,1.07,Growing,1,0,1,,Summer,386.24,598.88,212.64,0.355062783863211,1.55053852526926
3,40,3062520,MISSY SULLIVAN,Perrysburg,186,412,1.211,Growing,1,0,1,,Fall,376.56,583.92,207.36,0.355117139334155,1.55066921606119
3,35,3061302,AMSTED RAIL,Dublin,45412,23844,-0.475,Declining,1,0,1,"Case, Case Backhoes",Spring,391.4,607.05,215.65,0.355242566510172,1.55097087378641
3,35,486055,SOLID WASTE AUTHORITY,Dublin,5405,19537,2.615,Growing,1,0,1,Sakai,Spring,7461.48,11709.23,4247.75,0.362769370829679,1.56929054289498
3,35,1420078,C S X TRANSPORTATION,Dublin,21183,17813,-0.159,Declining,1,0,1,Case,Winter,68.5,106.3,37.8,0.355597365945438,1.55182481751825
